http://terminology.hl7.org/CodeSystem/v2-0203,2.16.840.1.113883.18.108,IdentifierType
﻿Code,Display,Definition,V2 Concept Comment,V2 Concept Comment As Published,HL7 Concept Usage Notes
AC,Accreditation/Certification Identifier,"Identifier that has been assigned by an accreditation or certification organization in specific fields, indicating a recognized skill","In Ask at Order Entry (AOE) questions this can be used to identify the ID with the assigning authority. For instance, a credentialed sonographer whose identifier assigned by the credentialing body has been entered can be properly labeled.",,
ACSN,Accession ID,Accession Identifier,,Accession Identifier,
AIN,Animal Identification Number (US Official),A numbering system for the official identification of individual animals in the United States that provides a nationally unique identification number for each animal. The first two numbers on a tag are the numbers assigned to a specific State.,AIN is the official acronym used by USDA,,
AM,American Express,American Express,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
AMA,American Medical Association Number,A physician identifier assigned by the AMA.,,A physician identifier assigned by the AMA.,
AN,Account number,Account An identifier that is unique to an account.,,An identifier that is unique to an account.,
ANC,Account number Creditor,A more precise definition of an account number,"Class: Financial<p>Sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Kreditorenkontonummer","Class: Financial<p>A more precise definition of an account number: sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Kreditorenkontonummer",
AND,Account number debitor,A more precise definition of an account number,"Class: Financial<p>Sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Debitorenkontonummer","Class: Financial<p>A more precise definition of an account number: sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Debitorenkontonummer",
ANON,Anonymous identifier,An identifier for a living subject whose real identity is protected or suppressed,"Justification: For public health reporting purposes, anonymous identifiers are occasionally used for protecting patient identity in reporting certain results. For instance, a state health department may choose to use a scheme for generating an anonymous identifier for reporting a patient that has had a positive human immunodeficiency virus antibody test. Anonymous identifiers can be used in PID 3 by replacing the medical record number or other non-anonymous identifier. The assigning authority for an anonymous identifier would be the state/local health department.","An identifier for a living subject whose real identity is protected or suppressed Justification: For public health reporting purposes, anonymous identifiers are occasionally used for protecting patient identity in reporting certain results. For instance, a state health department may choose to use a scheme for generating an anonymous identifier for reporting a patient that has had a positive human immunodeficiency virus antibody test. Anonymous identifiers can be used in PID 3 by replacing the medical record number or other non-anonymous identifier. The assigning authority for an anonymous identifier would be the state/local health department.",
ANT,Temporary Account Number,Temporary version of an Account Number,Class: Financial Use Case: An ancillary system that does not normally assign account numbers is the first time to register a patient. This ancillary system will generate a temporary account number that will only be used until an official account number is assigned.,Class: Financial Temporary version of an Account Number. Use Case: An ancillary system that does not normally assign account numbers is the first time to register a patient. This ancillary system will generate a temporary account number that will only be used until an official account number is assigned.,
APRN,Advanced Practice Registered Nurse number,An identifier that is unique to an advanced practice registered nurse within the jurisdiction of a certifying board,,An identifier that is unique to an advanced practice registered nurse within the jurisdiction of a certifying board,
ASID,Ancestor Specimen ID,A unique identifier for the ancestor specimen.,"All child, grandchild, etc. specimens of the ancestor specimen share the same Ancestor Specimen ID.","A unique identifier for the ancestor specimen. All child, grandchild, etc. specimens of the ancestor specimen share the same Ancestor Specimen ID.",
BA,Bank Account Number,Bank Account Number,Class: Financial,Class: Financial,
BC,Bank Card Number,An identifier that is unique to a person's bank card,"Class: Financial<p>Replaces AM, DI, DS, MS, and VS beginning in v 2.5.","Class: Financial<p>An identifier that is unique to a person's bank card. Replaces AM, DI, DS, MS, and VS beginning in v 2.5.",
BCFN,Birth Certificate File Number,The identifier used within the jurisdictional vital records office file system as an auxiliary means of accessing the record associated with the birth certificate.,,,
BCT,Birth Certificate,A number associated with a document identifying the event of a person's birth,,A number associated with a document identifying the event of a person's birth.,
BR,Birth registry number,An identifier unique within the Assigning Authority that is the official legal record of a person's birth.,,An identifier unique within the Assigning Authority that is the official legal record of a person's birth.,
BRN,Breed Registry Number,Breed Registry Number,,,
BSNR,Primary physician office number,Primary physician office number,Betriebsstättennummer - for use in the German realm.,Betriebsstättennummer - for use in the German realm.,
CAAI,Consumer Application Account Identifier,"An identifier for the consumer (e.g., patient, caregiver) for an application such as a portal or App.","This may be the same as a username, but frequently is different.",,
CC,Cost Center number,Cost Center number,Class: Financial<p>Use Case: needed especially for transmitting information about invoices.,Class: Financial<p>Use Case: needed especially for transmitting information about invoices.,
CONM,Change of Name Document,A number associated with a document identifying a person's legal change of name.,,A number associated with a document identifying a person's legal change of name.,
CY,County number,County number,,,
CZ,Citizenship Card,A number assigned by a person's country of residence to identify a person's citizenship.,,A number assigned by a person's country of residence to identify a person's citizenship.,
DC,Death Certificate ID,"The identifier assigned to a death certificate, and printed on the death certificate when issued by a jurisdictional vital records office",,,
DCFN,Death Certificate File Number,The identifier used within the jurisdictional vital records office file system as an auxiliary means of accessing the record associated with the death certificate.,,,
DDS,Dentist license number,An identifier that is unique to a dentist within the jurisdiction of the licensing board,,An identifier that is unique to a dentist within the jurisdiction of the licensing board,
DEA,Drug Enforcement Administration registration number,An identifier for an individual or organization relative to controlled substance regulation and transactions.,"Use case: This is a registration number that identifies an individual or organization relative to controlled substance regulation and transactions. A DEA number has a very precise and widely accepted meaning within the United States. Surprisingly, the US Drug Enforcement Administration does not solely assign DEA numbers in the United States. Hospitals have the authority to issue DEA numbers to their medical residents. These DEA numbers are based upon the hospital’s DEA number, but the authority rests with the hospital on the assignment to the residents. Thus, DEA as an Identifier Type is necessary in addition to DEA as an Assigning Authority.","An identifier for an individual or organization relative to controlled substance regulation and transactions. Use case: This is a registration number that identifies an individual or organization relative to controlled substance regulation and transactions. A DEA number has a very precise and widely accepted meaning within the United States. Surprisingly, the US Drug Enforcement Administration does not solely assign DEA numbers in the United States. Hospitals have the authority to issue DEA numbers to their medical residents. These DEA numbers are based upon the hospital’s DEA number, but the authority rests with the hospital on the assignment to the residents. Thus, DEA as an Identifier Type is necessary in addition to DEA as an Assigning Authority.",
DFN,Drug Furnishing or prescriptive authority Number,An identifier issued to a health care provider authorizing the person to write drug orders,Use Case: A nurse practitioner has authorization to furnish or prescribe pharmaceutical substances; this identifier is in component 1.,An identifier issued to a health care provider authorizing the person to write drug orders<p>Use Case: A nurse practitioner has authorization to furnish or prescribe pharmaceutical substances; this identifier is in component 1.,
DI,Diner's Club card,Diner's Club card,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
DL,Driver's license number,Driver's license number,,,
DN,Doctor number,Doctor number,,,
DO,Osteopathic License number,An identifier that is unique to an osteopath within the jurisdiction of a licensing board.,,An identifier that is unique to an osteopath within the jurisdiction of a licensing board.,
DP,Diplomatic Passport,A number assigned to a diplomatic passport.,,A number assigned to a diplomatic passport.,
DPM,Podiatrist license number,An identifier that is unique to a podiatrist within the jurisdiction of the licensing board.,,An identifier that is unique to a podiatrist within the jurisdiction of the licensing board.,
DR,Donor Registration Number,Donor Registration Number,,,
DS,Discover Card,Discover Card,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
DSG,Diagnostic Study Group,Unique Identifier that groups several orders that are to be performed together.,Example: Radiology studies,,
EI,Employee number,A number that uniquely identifies an employee to an employer.,,A number that uniquely identifies an employee to an employer.,
EN,Employer number,Employer number,,,
ESN,Staff Enterprise Number,An identifier that is unique to a staff member within an enterprise (as identified by the Assigning Authority).,,An identifier that is unique to a staff member within an enterprise (as identified by the Assigning Authority).,
FDR,Fetal Death Report ID,"The identifier assigned to a fetal death report, and printed on the fetal death report when issued by a jurisdictional vital records office",,,
FDRFN,Fetal Death Report File Number,The identifier used within the jurisdictional vital records office file system as an auxiliary means of accessing the record associated with the fetal death report certificate.,,,
FGN,Filler Group Number,Unique identifier assigned to a group of orders by the filler application.,"This is analogous to the Placer Group Number ORC-4, except that it is assigned by the filler.",,
FI,Facility ID,Facility ID,,,
FILL,Filler Identifier,"An identifier for a request where the identifier is issued by the person, or service, that produces the observations or fulfills the request.",,,
GI,Guarantor internal identifier,Guarantor internal identifier,Class: Financial,Class: Financial,
GIN,Animal Group Identifier (US Official),Identifier that can be used to unambiguously describe a specific group of animals.,GIN is the official acronym used by USDA,,
GL,General ledger number,General ledger number,Class: Financial,Class: Financial,
GN,Guarantor external identifier,Guarantor external identifier,Class: Financial,Class: Financial,
HC,Health Card Number,Health Card Number,,,
IND,Indigenous/Aboriginal,A number assigned to a member of an indigenous or aboriginal group outside of Canada.,,A number assigned to a member of an indigenous or aboriginal group outside of Canada.,
IRISTEM,An IRI stem,"An IRI string that can be prepended to the code to obtain a concept IRI for RDF applications. This should be a valid, absolute IRI as defined in RFC 3987. See https://build.fhir.org/rdf.html#iri-stem for details on how this value may be used.",,,
JHN,Jurisdictional health number,Jurisdictional health number,Class: Insurance<p>2 uses: a) UK jurisdictional CHI number; b) Canadian provincial health card number:,Class: Insurance<p>2 uses: a) UK jurisdictional CHI number; b) Canadian provincial health card number:,
LACSN,Laboratory Accession ID,A laboratory accession id is used in the laboratory domain.,"The concept of accession is used in other domains such as radiology, so the LACSN is used to distinguish a lab accession id from an radiology accession id","A laboratory accession id is used in the laboratory domain. The concept of accession is used in other domains such as radiology, so the LACSN is used to distinguish a lab accession id from an radiology accession id",
LANR,Lifelong physician number,Lifelong physician number,Lebenslange Arztnummer - for use in German realm.,Lebenslange Arztnummer - for use in German realm.,
LI,Labor and industries number,Labor and industries number,,,
L&I,Labor and industries number,Labor and industries number. Note that this was introduced erroneously (with an ampersand in the code value) many years ago.,,,Deprecated as of v 2.5; Use LI instead.
LN,License number,License number,,,
LR,Local Registry ID,Local Registry ID,,,
MA,Patient Medicaid number,Patient Medicaid number,Class: Insurance,Class: Insurance,
MB,Member Number,"An identifier for the insured of an insurance policy (this insured always has a subscriber), usually assigned by the insurance carrier.",Use Case: Person is covered by an insurance policy. This person may or may not be the subscriber of the policy.,"An identifier for the insured of an insurance policy (this insured always has a subscriber), usually assigned by the insurance carrier.<p>Use Case: Person is covered by an insurance policy. This person may or may not be the subscriber of the policy.",
MC,Patient's Medicare number,Patient's Medicare number,Class: Insurance,Class: Insurance,
MCD,Practitioner Medicaid number,Practitioner Medicaid number,Class: Insurance,Class: Insurance,
MCN,Microchip Number,Microchip Number,,,
MCR,Practitioner Medicare number,Practitioner Medicare number,Class: Insurance,Class: Insurance,
MCT,Marriage Certificate,A number associated with a document identifying the event of a person's marriage.,,A number associated with a document identifying the event of a person's marriage.,
MD,Medical License number,An identifier that is unique to a medical doctor within the jurisdiction of a licensing board.,"Use Case: These license numbers are sometimes used as identifiers. In some states, the same authority issues all three identifiers, e.g., medical, osteopathic, and physician assistant licenses all issued by one state medical board. For this case, the CX data type requires distinct identifier types to accurately interpret component 1. Additionally, the distinction among these license types is critical in most health care settings (this is not to convey full licensing information, which requires a segment to support all related attributes).","An identifier that is unique to a medical doctor within the jurisdiction of a licensing board. Use Case: These license numbers are sometimes used as identifiers. In some states, the same authority issues all three identifiers, e.g., medical, osteopathic, and physician assistant licenses all issued by one state medical board. For this case, the CX data type requires distinct identifier types to accurately interpret component 1. Additionally, the distinction among these license types is critical in most health care settings (this is not to convey full licensing information, which requires a segment to support all related attributes).",
MI,Military ID number,"A number assigned to an individual who has had military duty, but is not currently on active duty. The number is assigned by the DOD or Veterans' Affairs (VA).",,"A number assigned to an individual who has had military duty, but is not currently on active duty. The number is assigned by the DOD or Veterans' Affairs (VA).",
MR,Medical record number,"An identifier that is unique to a patient within a set of medical records, not necessarily unique within an application.",,"An identifier that is unique to a patient within a set of medical records, not necessarily unique within an application.",
MRT,Temporary Medical Record Number,Temporary version of a Medical Record Number,Use Case: An ancillary system that does not normally assign medical record numbers is the first time to register a patient. This ancillary system will generate a temporary medical record number that will only be used until an official medical record number is assigned.,Temporary version of a Medical Record Number Use Case: An ancillary system that does not normally assign medical record numbers is the first time to register a patient. This ancillary system will generate a temporary medical record number that will only be used until an official medical record number is assigned.,
MS,MasterCard,MasterCard,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
NBSNR,Secondary physician office number,Secondary physician office number,Nebenbetriebsstättennummer - for use in the German realm.,Nebenbetriebsstättennummer - for use in the German realm.,
NCT,Naturalization Certificate,A number associated with a document identifying a person's retention of citizenship in a particular country.,,A number associated with a document identifying a person's retention of citizenship in a particular country.,
NE,National employer identifier,National employer identifier,"In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.","In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.",
NH,National Health Plan Identifier,National Health Plan Identifier,Class: Insurance Used for the UK NHS national identifier.,"Class: Insurance<p>Used for the UK NHS national identifier.<p>In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.",
NI,National unique individual identifier,National unique individual identifier,"Class: Insurance In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.","Class: Insurance In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.",
NII,National Insurance Organization Identifier,National Insurance Organization Identifier,Class: Insurance In Germany a national identifier for an insurance company. It is printed on the insurance card (health card). It is not to be confused with the health card number itself.<p>Krankenkassen-ID der KV-Karte,Class: Insurance In Germany a national identifier for an insurance company. It is printed on the insurance card (health card). It is not to be confused with the health card number itself.<p>Krankenkassen-ID der KV-Karte,
NIIP,National Insurance Payor Identifier (Payor),National Insurance Payor Identifier (Payor),"Class: Insurance In Germany the insurance identifier addressed as the payor.<p>Krankenkassen-ID des Rechnungsempfängers<p>Use case: a subdivision issues the card with their identifier, but the main division is going to pay the invoices.","Class: Insurance In Germany the insurance identifier addressed as the payor.<p>Krankenkassen-ID des Rechnungsempfängers<p>Use case: a subdivision issues the card with their identifier, but the main division is going to pay the invoices.",
NNxxx,National Person Identifier where the xxx is the ISO table 3166 3-character (alphabetic) country code,National Person Identifier where the xxx is the ISO table 3166 3-character (alphabetic) country code,,,
NP,Nurse practitioner number,An identifier that is unique to a nurse practitioner within the jurisdiction of a certifying board.,,An identifier that is unique to a nurse practitioner within the jurisdiction of a certifying board.,
NPI,National provider identifier,National provider identifier,"Class: Insurance In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.","Class: Insurance In the US, the Assigning Authority for this value is typically CMS, but it may be used by all providers and insurance companies in HIPAA related transactions.",
OBI,Observation Instance Identifier,Unique and persistent identifier for an observation instance,For example in the IHE-LCC Profile this is used to identify the OBX-21 of the result for which a clarification is requested using an OML^O59_OML_O59 message structure,,
OD,Optometrist license number,A number that is unique to an individual optometrist within the jurisdiction of the licensing board.,,A number that is unique to an individual optometrist within the jurisdiction of the licensing board.,
PA,Physician Assistant number,An identifier that is unique to a physician assistant within the jurisdiction of a licensing board,,An identifier that is unique to a physician assistant within the jurisdiction of a licensing board,
PC,Parole Card,A number identifying a person on parole.,,A number identifying a person on parole.,
PCN,Penitentiary/correctional institution Number,A number assigned to individual who is incarcerated.,,A number assigned to individual who is incarcerated.,
PE,Living Subject Enterprise Number,An identifier that is unique to a living subject within an enterprise (as identified by the Assigning Authority).,,An identifier that is unique to a living subject within an enterprise (as identified by the Assigning Authority).,
PEN,Pension Number,Pension Number,,,
PGN,Placer Group Number,Unique identifier assigned to a group of orders by the placer application.,This is analogous to the Placer Group Number ORC-4.,,
PHC,Public Health Case Identifier,Identifier assigned to a person during a case investigation as part of a public health event,For example every person affected by the Norovirus outbreak on a cruise ship will be assigned a case ID for investigation and follow up,,
PHE,Public Health Event Identifier,Identifier assigned to an event of interest to public health,"For example an outbreak of Norovirus on a cruise ship – this is assigned by a public health jurisdiction at the local, state or federal level",,
PHO,Public Health Official ID,"An identifier for a person working at a public health agency (PHA), assigned or issued by the agency",May need to identify contact in a PHA that approved a test request or is in charge of an investigation.,,
PI,Patient internal identifier,A number that is unique to a patient within an Assigning Authority.,,A number that is unique to a patient within an Assigning Authority.,
PIN,Premises Identifier Number (US Official),Identifier that uniquely identifies a geographic location in the US.,"The owner of the premises, or a person designated by the owner of the premises, can register his/her location. A premises identification number, or PIN, is then permanently assigned to that location associating it with the mailing address. If there is no mailing address at the property, geographic coordinates—latitude and longitude—can be used instead to describe the location. A premises identification number (PIN) is a unique, 7-digit code that includes both letters and numbers. Example: A123R69",,
PLAC,Placer Identifier,An identifier for a request where the identifier is issued by the person or service making the request.,,,
PN,Person number,A number that is unique to a living subject within an Assigning Authority.,,A number that is unique to a living subject within an Assigning Authority.,
PNT,Temporary Living Subject Number,Temporary version of a Living Subject Number.,,Temporary version of a Lining Subject Number.,
PPIN,Medicare/CMS Performing Provider Identification Number,Medicare/CMS Performing Provider Identification Number,Class: Insurance,Class: Insurance,Class: Insurance
PPN,Passport number,A unique number assigned to the document affirming that a person is a citizen of the country.,In the US this number is issued only by the State Department.,A unique number assigned to the document affirming that a person is a citizen of the country. In the US this number is issued only by the State Department.,
PRC,Permanent Resident Card Number,Permanent Resident Card Number,,,
PRN,Provider number,"A number that is unique to an individual provider, a provider group or an organization within an Assigning Authority.",Use case: This allows PRN to represent either an individual (a nurse) or a group/organization (orthopedic surgery team).,"A number that is unique to an individual provider, a provider group or an organization within an Assigning Authority.<p>Use case: This allows PRN to represent either an individual (a nurse) or a group/organization (orthopedic surgery team).",
PT,Patient external identifier,Patient external identifier,,,
QA,QA number,QA number,,,
RI,Resource identifier,A generalized resource identifier.,"Use Case: An identifier type is needed to accommodate what are commonly known as resources. The resources can include human (e.g. a respiratory therapist), non-human (e.g., a companion animal), inanimate object (e.g., an exam room), organization (e.g., diabetic education class) or any other physical or logical entity.","A generalized resource identifier. Use Case: An identifier type is needed to accommodate what are commonly known as resources. The resources can include human (e.g. a respiratory therapist), non-human (e.g., a companion animal), inanimate object (e.g., an exam room), organization (e.g., diabetic education class) or any other physical or logical entity.",
RN,Registered Nurse Number,An identifier that is unique to a registered nurse within the jurisdiction of the licensing board.,,An identifier that is unique to a registered nurse within the jurisdiction of the licensing board.,
RPH,Pharmacist license number,An identifier that is unique to a pharmacist within the jurisdiction of the licensing board.,,An identifier that is unique to a pharmacist within the jurisdiction of the licensing board.,
RR,Railroad Retirement number,"An identifier for an individual enrolled with the Railroad Retirement Administration. Analogous to, but distinct from, a Social Security Number",,"An identifier for an individual enrolled with the Railroad Retirement Administration. Analogous to, but distinct from, a Social Security Number",
RRI,Regional registry ID,Regional registry ID,,,
RRP,Railroad Retirement Provider,Railroad Retirement Provider,Class: Insurance,Class: Insurance,
SAMN,SAMN# accession Number,The accession number for the BioSample data repository at the National Center for Biotechnology Information (NCBI),This accession is a permanent record locator for the BioSample record which contains metadata about the biological sample.,,
SB,Social Beneficiary Identifier,An identifier issued by a governmental organization to a person to identify the person should they apply for or receive social services and/or benefits,,,
SID,Specimen ID,Identifier for a specimen.,Used when it is not known if the specimen ID is a unique specimen ID (USID) or an ancestor ID (ASID).,Identifier for a specimen. Used when it is not known if the specimen ID is a unique specimen ID (USID) or an ancestor ID (ASID).,
SL,State license,State license,,,
SN,Subscriber Number,"An identifier for a subscriber of an insurance policy which is unique for, and usually assigned by, the insurance carrier.","Class: Insurance Use Case: A person is the subscriber of an insurance policy. The person’s family may be plan members, but are not the subscriber.","Class: Insurance An identifier for a subscriber of an insurance policy which is unique for, and usually assigned by, the insurance carrier. Use Case: A person is the subscriber of an insurance policy. The person’s family may be plan members, but are not the subscriber.",
SNBSN,State assigned NDBS card Identifier,The identifier on a Newborn Screening Dried Bloodspot (NDBS) card that is assigned by the state which provided the sample collection cards and to whom this information must be reported,"For use either with OBX-5 as CX datatype, where OBX-3 uses LOINC 57716-3^State printed on filter paper card [Identifier] in NBS card^LN, or in SPM-31",,
SNO,Serial Number,"An identifier affixed to an item by the manufacturer when it is first made, where each item has a different identifier.",,,
SP,Study Permit,A number associated with a permit identifying a person who is a resident of a jurisdiction for the purpose of education.,,A number associated with a permit identifying a person who is a resident of a jurisdiction for the purpose of education.,
SR,State registry ID,State registry ID,,,
SRX,SRA Accession number,The accession number generated by the Sequence Read Archive (SRA) at the National Center for Biotechnology Information (NCBI) when sequence data are uploaded to NCBI.,This provides both the sequence data and metadata on how the sample was sequenced. – This accession is a permanent record locator for the submitted un-assembled sequence data.,,
SS,Social Security number,Social Security number,,,
STN,Shipment Tracking Number,Identifier assigned to a package being shipped,For example the Fed Ex / UPS / DHS / USPS tracking number,,
TAX,Tax ID number,Tax ID number,,,
TN,Treaty Number/ (Canada),A number assigned to a member of an indigenous group in Canada.,Use Case: First Nation.,A number assigned to a member of an indigenous group in Canada.<p>Use Case: First Nation.,
TPR,Temporary Permanent Resident (Canada),A number associated with a document identifying a person's temporary permanent resident status.,,A number associated with a document identifying a person's temporary permanent resident status.,
TRL,Training License Number,The license number used during training.,,,
U,Unspecified identifier,Unspecified identifier,,,
UDI,Universal Device Identifier,An identifier assigned to a device using the Unique Device Identification framework as defined by IMDRF (http://imdrf.org).,,,
UPIN,Medicare/CMS (formerly HCFA)'s Universal Physician Identification numbers,An identifier for a provider within the CMS/Medicare program. A globally unique identifier for the provider in the Medicare program.,Class: Insurance,Class: Insurance<p>An identifier for a provider within the CMS/Medicare program. A globally unique identifier for the provider in the Medicare program.,
USID,Unique Specimen ID,A unique identifier for a specimen.,,A unique identifier for a specimen.,
VN,Visit number,Visit number,,,
VP,Visitor Permit,A number associated with a document identifying a person as a visitor of a jurisdiction or country.,,A number associated with a document identifying a person as a visitor of a jurisdiction or country.,
VS,VISA,VISA,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
WC,WIC identifier,WIC identifier,,,
WCN,Workers' Comp Number,Workers' Comp Number,,,
WP,Work Permit,A number associated with a permit for a person who is granted permission to work in a country for a specified time period.,,A number associated with a permit for a person who is granted permission to work in a country for a specified time period.,
XV,Health Plan Identifier,"National unique health plan identifier required by the US Department of Health and Human Services, Centers for Medicare and Medicaid Services (CMS) in the US Realm.",Also referred to as HPID (Health Plan Identifier).,,The code value ‘XV’ is used in CMS mandated Health Insurance Portability and Accountability Act (HIPAA) transactions.
XX,Organization identifier,Organization identifier,,,
